sum_1,sum_2,norm,accel,scan
-0.3259350061416626,-0.6178820133209229,0.527505,33.64832,25155000.0
-0.27752500772476196,-0.6190879940986633,0.44828,-8.226663,25157500.0
-0.2663800120353699,-0.6177600026130676,0.431203,79.317716,25160000.0
-0.3061690032482147,-0.6178529858589172,0.495537,-12.329318,25162500.0
-0.31055399775505066,-0.6186910271644592,0.501953,103.533362,25165000.0
-0.32821598649024963,-0.6229439973831177,0.526878,21.45264,25155000.0
-0.2607089877128601,-0.6182219982147217,0.421708,111.069842,25157500.0
-0.26922300457954407,-0.6179959774017334,0.435639,70.268827,25160000.0
-0.32341301441192627,-0.6189829707145691,0.522491,76.758814,25162500.0
-0.30950599908828735,-0.6192600131034851,0.499801,121.12138,25165000.0
-0.32050400972366333,-0.6185380220413208,0.518163,56.148918,25155000.0
-0.2539849877357483,-0.615086019039154,0.412926,154.774456,25157500.0
-0.27103298902511597,-0.6157860159873962,0.440142,84.803238,25160000.0
-0.3314020037651062,-0.6198310256004333,0.534665,169.154471,25162500.0
-0.31129398941993713,-0.6214920282363892,0.500883,120.889521,25165000.0
-0.3040750026702881,-0.6191310286521912,0.491132,156.486334,25155000.0
-0.2549790143966675,-0.6187379956245422,0.412095,139.665866,25157500.0
-0.2842470109462738,-0.6190850138664246,0.45914,152.729555,25160000.0
-0.3330810070037842,-0.6207900047302246,0.536543,162.168068,25162500.0
-0.30367401242256165,-0.6202309727668762,0.489614,146.894959,25165000.0
-0.2929309904575348,-0.6174499988555908,0.474421,192.428921,25155000.0
-0.25712600350379944,-0.6148880124092102,0.418167,127.749071,25157500.0
-0.30041900277137756,-0.6162049770355225,0.487531,202.966726,25160000.0
-0.3320159912109375,-0.6185330152511597,0.53678,136.190929,25162500.0
-0.2920660078525543,-0.6169909834861755,0.473371,185.007531,25165000.0
-0.29932400584220886,-0.6190999746322632,0.483483,154.710948,25155000.0
-0.2537800073623657,-0.6148890256881714,0.412726,144.154562,25157500.0
-0.29253900051116943,-0.6180109977722168,0.473355,177.274937,25160000.0
-0.3319129943847656,-0.6200140118598938,0.535332,132.842582,25162500.0
-0.29100900888442993,-0.6189960241317749,0.47013,178.168416,25165000.0
-0.3069779872894287,-0.619081974029541,0.495861,122.765972,25155000.0
-0.25412899255752563,-0.6173059940338135,0.411675,168.76454,25157500.0
-0.28043800592422485,-0.6155459880828857,0.455593,120.967347,25160000.0
-0.33316799998283386,-0.6175439953804016,0.539505,137.428088,25162500.0
-0.3063980042934418,-0.6157850027084351,0.497573,126.07343,25165000.0
-0.30802199244499207,-0.6184989809989929,0.498016,118.82101,25155000.0
-0.2568640112876892,-0.6147429943084717,0.41784,116.015802,25157500.0
-0.2720310091972351,-0.6143450140953064,0.442799,90.727385,25160000.0
-0.32927799224853516,-0.6167939901351929,0.533854,126.441892,25162500.0
-0.31724199652671814,-0.6193169951438904,0.512245,54.537113,25165000.0
-0.3098370134830475,-0.6174299716949463,0.501817,103.318472,25155000.0
-0.2619040012359619,-0.6167269945144653,0.424668,60.339668,25157500.0
-0.27134498953819275,-0.617222011089325,0.439623,83.936979,25160000.0
-0.32271701097488403,-0.6218429803848267,0.518968,45.043848,25162500.0
-0.3166239857673645,-0.6214519739151001,0.509491,71.321218,25165000.0
-0.3220039904117584,-0.620980978012085,0.518541,61.408052,25155000.0
-0.26669201254844666,-0.6167889833450317,0.432387,36.337904,25157500.0
-0.26695600152015686,-0.6161929965019226,0.433234,50.027938,25160000.0
-0.3149639964103699,-0.617851972579956,0.509773,9.741421,25162500.0
-0.322611004114151,-0.6191570162773132,0.521049,48.207276,25165000.0
-0.32915198802948,-0.6190339922904968,0.531718,-6.013867,25155000.0
-0.2703720033168793,-0.6193559765815735,0.436537,32.702771,25157500.0
-0.2581019997596741,-0.6162880063056946,0.4188,-5.709951,25160000.0
-0.3148840069770813,-0.6201329827308655,0.507768,2.946889,25162500.0
-0.325655996799469,-0.6196799874305725,0.525523,17.042595,25165000.0
-0.3309679925441742,-0.6197850108146667,0.534005,-26.85285,25155000.0
-0.27138400077819824,-0.617730975151062,0.439324,14.109941,25157500.0
-0.2558479905128479,-0.6129800081253052,0.417385,-31.473137,25160000.0
-0.3152720034122467,-0.6159210205078125,0.511871,3.95141,25162500.0
-0.33126300573349,-0.6190069913864136,0.535152,-28.493412,25165000.0
-0.33219099044799805,-0.616362988948822,0.538953,-24.58398,25155000.0
-0.2771880030632019,-0.6143770217895508,0.451168,-11.311355,25157500.0
-0.25453999638557434,-0.6124780178070068,0.415591,-26.89821,25160000.0
-0.30907100439071655,-0.6154869794845581,0.502157,-17.64995,25162500.0
-0.330363005399704,-0.6193349957466125,0.533416,-11.725589,25165000.0
-0.33046600222587585,-0.6188330054283142,0.534015,-13.998534,25155000.0
-0.2919420003890991,-0.6204130053520203,0.470561,-66.19764,25157500.0
-0.25947898626327515,-0.6182680130004883,0.419687,4.165159,25160000.0
-0.28537601232528687,-0.6199579834938049,0.460315,-111.499123,25162500.0
-0.3293350040912628,-0.620934009552002,0.530385,-10.818913,25165000.0
-0.3143079876899719,-0.6176090240478516,0.50891,96.454774,25155000.0
-0.32544898986816406,-0.6190750002861023,0.525703,-256.442143,25157500.0
-0.2886199951171875,-0.6170740127563477,0.467724,175.627926,25160000.0
-0.29952698945999146,-0.6183769702911377,0.484376,-87.853384,25162500.0
-0.3320469856262207,-0.6217650175094604,0.53404,-90.255316,25165000.0
-0.3061330020427704,-0.6237390041351318,0.490803,132.083128,25155000.0
